0,,"――そうですか、残念です
ではせめてこれをお持ち下さい","Oh, I see. That's too bad. Well, please at least
take this with you.",ui\00_message\npc\base\n9011.gmd,\npc\n9011.arc,n9011.arc,1,,,,,,,,,
0,,"僕とクインタス、ベルタは、この人たちを連れて
王家の通路を使って脱出します","Me, Quintus and Bertha will take these people and 
use the royal passage to escape.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,62,,,,,,,,,
0,,"隊長さんも、いち早く
ここから脱出してください","Captain as well, quickly,
you must leave this place at once.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,63,,,,,,,,,
0,,"間に合って良かった――
ざっと見たところ、この地下は封鎖されたまま
かなり日が経っている","Glad I got here in time-- 
a quick look around shows that this basement has 
been sealed off for quite some time now.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,64,,,,,,,,,
0,,"オークどもめ、ここの人たちのことなど
すっかり忘れてしまったのだろう","Those orcs, they must have forgotten all 
about the people here.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,65,,,,,,,,,
0,,"見つからずにみんなを助け出すには
好都合だな","This is convenient for rescuing everyone 
without being noticed.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,66,,,,,,,,,
0,,"あんたのおかげでここの連中は
ぎりぎり飢え死にせずに済んだようだ","Thanks to you, it looks like the people here just 
barely escaped starving to death.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,67,,,,,,,,,
0,,"さあ、突入経路の確認も済んでいることだし
とっととずらかろうじゃないか
――陽動部隊の情報も気になるだろう？","Now, we've already checked the raid route, 
so let's get the hell out of here.
--And you're probably wondering about information 
on the diversionary forces, aren't you?",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,68,,,,,,,,,
0,,"よもやこんな場所でネド王子様と
お会いできようとは、ぐ、言葉もない――","I never thought I'd meet Prince Nedo in a place 
like this... I'm speechless...",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,69,,,,,,,,,
0,,"――さ、わしよりも、はやくみんなをここから
連れ出してやってくれ","Now, I'd better get them out of here 
as quickly as I can.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,70,,,,,,,,,
0,,あ、あんたたちは一体誰なんだ？,"Oh, who the hell are you guys?",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,71,,,,,,,,,
0,,"え？　解放軍！？
俺、本当に助かるのか――","Eh?　The Liberation Army!?
Am I really going to be saved--?",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,72,,,,,,,,,
0,,"うう、王子様ったら
こんなあぶない真似までして来てくれるなんて
ほんと身に余る光栄だよ","Oh my, the prince has come to do 
such a dangerous thing. 
I truly feel unworthy of this honor.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,73,,,,,,,,,
0,,ああ、許してください、許してください,"Oh, forgive me, forgive me.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,74,,,,,,,,,
0,,"わたしはなんでも言うことを聞きますから
どうか――家族だけは見逃してください","I'll do whatever you say, so please... 
just save my family.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,75,,,,,,,,,
0,,"ネド王子様――
なんとご立派に成長されたことか","Prince Nedo--
How splendidly you have grown!",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,76,,,,,,,,,
0,,アデライデ様、クレス様、ああ、お喜びあれ！,"By Queen Adelaide, Queen Cress, oh, rejoice!",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,77,,,,,,,,,
0,,"本当にありがとう
もうみんな、ここ数日は食べる物も無くなって
ほんと、ぎりぎりだったの――","Thank you so much.
We've all been on the brink of starvation 
for the last few days...",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,78,,,,,,,,,
0,,う、あっちにいるのは大盗賊のベルタじゃないか,"Oh, isn't that the infamous bandit Bertha 
over there?",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,79,,,,,,,,,
0,,"盗賊が俺たちを助けてくれたのか――
だが、もう何が起きたって驚きゃあしないぜ","So the bandit helped us, huh― 
but I won't be surprised by anything 
that happens now.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,80,,,,,,,,,
0,,お疲れさまでした,Thank you.,ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,81,,,,,,,,,
0,,"おかげで王家の通路の調査は終わり
そればかりか、消息不明だった城の人々も
保護することができました","Thanks to your help, we were able to complete 
the search of the royal passage and protect the 
people of the castle who had disappeared.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,82,,,,,,,,,
0,,次は――いよいよ、展望城への侵攻ですね,"Next up - 
the invasion of the Lookout Castle, at last!",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,83,,,,,,,,,
0,,"メイロワ将軍たちも戻っています
陽動部隊との評定も終えたようですから
ええ、きっとうまくいくでしょう","General Meirova and his men are back, and they've 
finished their assessment of 
the diversionary forces.
Yes, I'm sure everything will be fine.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,84,,,,,,,,,
0,,"城から助け出してもらった連中に代わって
礼を言わせてくれ
ありがとう","On behalf of the people who were rescued from 
the castle, I'd like to thank you.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,85,,,,,,,,,
0,,"わたしの友はオークと戦い、命を落とした
ようだが、その家族は無事だった
それだけでも良しとしよう","My friend lost his life fighting orcs, 
but his family is safe, 
so let's be thankful for that.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,86,,,,,,,,,
0,,"地下に閉じ込められていた連中は
意気も元気もなくしてまるで屍のようだった","The people who were trapped in the basement were 
like corpses, out of energy and out of mind.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,87,,,,,,,,,
0,,"今にして思えばそれが良かったのだろうね
静かに、水が流れるがごとくに脱出できた
オークどもめ、全然気づいちゃいないよ","In hindsight, it's probably for the best that we 
got out as quietly as flowing water, 
the orcs not even noticing us at all.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,88,,,,,,,,,
0,,"おぬしらの首尾は上々と聞いている
しかし、陽動部隊は消耗が激しい","I hear you have done well.
But the diversionary force is wearing thin.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,89,,,,,,,,,
0,,"あと一度の攻撃が限度だろう
つまり、わしらの機会もあと一度ということだ","One more attack would be the limit, 
which means we have one more chance.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,90,,,,,,,,,
0,,"エリオットがロスギルに残った
陽動部隊に参加するってよ","Elliott is staying behind in Rothgill.
He's going to join the diversionary unit.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,91,,,,,,,,,
0,,"エリオット、疲れ切った陽動部隊の人たちに
すっかり同情しちゃって――","Oh, Elliott, you're totally feeling bad for the 
exhausted diversionary unit――",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,92,,,,,,,,,
0,,"まあ、気持ちはわかるな
あいつなら、大丈夫だよね","Well, I know how you feel. 
He's gonna be okay.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,93,,,,,,,,,
0,,"城の地下で大勢の人たちを
助けたんだってね","I heard you saved a lot of people in the basement 
of the castle.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,94,,,,,,,,,
0,,"良かったよ――本当に良かった
僕は、つい、そういう人たちと
自分を重ね合わせてしまうんだ","That was ―― really good
I tend to identify myself with people like that.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,95,,,,,,,,,
0,,"いてもいなくても、誰も気にしないような
そんな人たちにさ","To those people who are there and aren't there, 
and nobody cares.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,96,,,,,,,,,
0,,"なるほど――
城への突入準備が整ったというわけか","I see... 
so you're ready to storm the castle.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,97,,,,,,,,,
0,,順調に城を奪回すれば次は王都メガド――だったな,"If the castle is taken in good time, 
the next step is Megado, 
the royal capital - right?",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,98,,,,,,,,,
0,,"ふむ――奪回か
ネド王子が悪しき竜から竜力を""奪回""するまでは
気が休まらないな","Hmm... recapture.
I won't feel at ease until Prince Nedo 
""recaptures"" the Dragon Force 
from the Evil Dragon.",ui\00_message\quest\q00030125.gmd,\quest\q00030125.arc,q00030125.arc,99,,,,,,,,,
0,,"いかんな――
寝ても覚めてもレスタニアの損失ばかりを
考えてしまう","I can't--
every time I wake up, all I can think about 
is losing Lestania.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,0,,,,,,,,,
0,,"そのあげく、おまえたちを疑うようなことまで
してしまった",And then I went so far as to question you all.,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,1,,,,,,,,,
0,,どうか許してほしい,I hope you forgive me.,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,2,,,,,,,,,
0,,"長い付き合いのおまえたちが
思いもよらぬ方法で奪われてしまう――
そう考えたら、たまらなくてな――","The idea of you and your friends, 
who I've known for so long, 
being taken away from me in a way I never 
thought possible...
I can't stop thinking about it.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,3,,,,,,,,,
0,,さて、次はいよいよ城攻めなのだろう？,"So, is the castle siege finally next?",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,4,,,,,,,,,
0,,"くれぐれも、気をつけてな
無事な顔を見せてくれよ？","Take care of yourself and show me a secure 
countenance, will you?",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,5,,,,,,,,,
0,,"どうもこらえ性がなくなってな――
これも老いなのだろうなあ","I'm losing my composure- 
I guess that's just old age.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,6,,,,,,,,,
0,,"レスタニアは平穏無事――とは言わないけど
君たちの手をわずらわせるほどじゃない","I'm not saying that Lestania is at peace- 
but it's not enough to trouble your hands.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,7,,,,,,,,,
0,,"こっちのことは僕たちでなんとかするから
君たちはアッカーシェランに専念してよ","We'll take care of things over here.
You guys just concentrate on Acre Selund.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,8,,,,,,,,,
0,,"僕たちの、展望城の地下での活動が
敵に知られて状況が変わってしまうかもしれない","The enemy might find out about our activities in 
the basement of the Lookout Castle 
and alter the situation.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,9,,,,,,,,,
0,,"――そんな不安があったのですが
どうやら、大丈夫のようです
敵は相変わらず""嘆きの湿原""だけを
警戒しています","――I had such fears, but it seems that we're fine.
The enemy is still only on the lookout in 
the Wailing Wetland.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,10,,,,,,,,,
0,,"今は陽動部隊からの報せを待っています
――緊張しますね","Right now I'm waiting for word from the 
diversionary unit.
―― I'm nervous.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,11,,,,,,,,,
0,,"おお、間に合ったか
良かった、良かった","Oh, you made it. Good, good, good.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,12,,,,,,,,,
0,,"様々な条件を勘案し、おぬしらを
待たずに作戦を動かしたものの
実際のところは、おぬしたち抜きでは
心許なくてな","Taking into account various conditions, I 
considered proceeding with the strategy without 
waiting for you. 
In truth, without you all here, 
I feel rather uneasy.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,13,,,,,,,,,
0,,"いい時に来てくれたよ
まさに救世主だね","You came at the right time. 
You are a true savior.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,14,,,,,,,,,
0,,"ほどなく出陣ということになるだろうが
ネド王子を頼んだぞ","I'm sure it won't be long before we're off to 
war, but I'm counting on you to take care 
of Prince Nedo.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,15,,,,,,,,,
0,,"イェルハルドたちがどんだけのオークを
城から引っ張り出せるのか――","How many orcs can Gerhard and his men lure 
out of the castle?",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,16,,,,,,,,,
0,,それが勝負の分かれ目だろうな,"That would be the difference 
between winning and losing.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,17,,,,,,,,,
0,,エリオット、ちゃんとやってるかなあ,I hope Elliot is doing alright.,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,18,,,,,,,,,
0,,いよいよ展望城へ攻め入ります,"Finally, we will attack the Lookout Castle.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,19,,,,,,,,,
0,,"経路は、王家の通路から突入し
城内を掃討しつつ、ベルタの見つけた扉を使い
上層階を目指します","We'll enter through the royal passageway, 
sweep the castle, 
and use the door Bertha found 
to get to the upper floors.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,20,,,,,,,,,
0,,"出会う敵はすべてなぎ払う覚悟で行きましょう
僕は将軍、ベルタと一緒に行きます
すべての武運が解放軍と共にありますように！","Let's go with the determination to dispatch all 
enemies we meet. 
I will go with Bertha and the General. 
May all good fortune be with the Liberation Army!",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,21,,,,,,,,,
0,,僕は隊長さんの後方にいます,I'm behind the Captain.,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,22,,,,,,,,,
0,,"メイロワ将軍とベルタが一緒ですから
どうかご安心を","General Meirova and Bertha are with me.
Please, don't worry.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,23,,,,,,,,,
0,,"強襲部隊の人選はこれしか考えられなかった
おぬしたちが誉れと思ってくれるといいのだが――","This was the only way I could think of to pick 
the raiding party. 
I hope you guys will consider it an honor--",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,24,,,,,,,,,
0,,さあ、頼んだぞ,"Come on, I'm counting on you.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,25,,,,,,,,,
0,,"あたしはあとから行って
あんたの取りこぼしを始末してやるよ","I'll go after you and take care of 
your loose ends.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,26,,,,,,,,,
0,,"何もかも自分で倒そうと無理することはない
いいね？","Don't force yourself to take everything down 
yourself. Okay?",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,27,,,,,,,,,
0,,"留守はまかせてくれ
もしも城を奪回できたら、拠点の移転を
提案しようと思っている","Leave the watch to me. If we manage to 
recapture the castle, I plan to propose 
relocating our base of operations.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,28,,,,,,,,,
0,,――頼むぞ,--I'm counting on you.,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,29,,,,,,,,,
0,,いよいよ展望城ってわけだな,So it's finally time for the Lookout Castle.,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,30,,,,,,,,,
0,,"俺は一足先に、入り口――秘密の扉んところで
待ってるぜ","I'll be waiting for you at the entrance - 
the secret door.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,31,,,,,,,,,
0,,わたしたちは扉の前で合流ってことで、よろしく！,"We are meeting in front of the door, 
so please take care!",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,32,,,,,,,,,
0,,"陽動作戦はこれっきりで使えなくなる
次はないぞ？","The diversionary tactics will be 
obsolete after this.
There won't be a next time, alright?",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,33,,,,,,,,,
0,,"ってことだから、後腐れのないように
大暴れしてやろうぜ","So, let's go on a rampage so we don't have to 
worry about the aftermath.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,34,,,,,,,,,
0,,隊長、わたし、どきどきしてきた！,"Captain, I'm getting excited!",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,35,,,,,,,,,
0,,シュワアッ！,Gaah!,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,36,,,,,,,,,
0,,ギ様らッ！,Baz-turds!,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,37,,,,,,,,,
0,,ムクロよ！　アッ！　屠れ！　アッ！　貪れ！,"Death! Ah!
Butcher all! Ah!",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,38,,,,,,,,,
0,,シュワ！　ジね、ギ様、ジね,"Gah! Die, you die!",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,39,,,,,,,,,
0,,俺はムクロ使い、アッ！　ムクロの将！,"Death, heed my will! Ah! 
I, commander of corpses!",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,40,,,,,,,,,
0,,まず男からだ！　ジね！,Start with him! Die!,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,41,,,,,,,,,
0,,俺ノ城は渡ザん！,You'll have no passage through my castle!,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,42,,,,,,,,,
0,,バハハハ――異国ノ覚者め！,"Bahahaha...!
Pesky Arisen from another land!",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,43,,,,,,,,,
0,,異国ノ男ノ、アッ！　ムクロが欲ジい！,"Outsider! Ah!
I want that corpse!",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,44,,,,,,,,,
0,,異国ノ女ノ、アッ！　ムクロが欲ジい！,"Outsider! Ah!
I want that corpse!",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,45,,,,,,,,,
0,,ジジのムクロは川に流ゼ！　アッ！,Corpses of the old ones come from the river! Ah!,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,46,,,,,,,,,
0,,アッ！　ムクロに、なりたく、アッ！　ない――,"Ah! Death!
I don't want to becomeー Ah!
A corpse!",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,47,,,,,,,,,
0,,我らの城を取り戻すのだ！,Let's take back our castle!,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,48,,,,,,,,,
0,,オークどもを追い払え！,Get rid of those orcs!,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,49,,,,,,,,,
0,,こいつを早く倒さねば――この腐臭、城が腐るわ！,"If we don't beat this guy fast - 
this castle will reek of rot!",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,50,,,,,,,,,
0,,出ていけ悪しき竜の傀儡め！,"Get out, you puppet of the Evil Dragon!",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,51,,,,,,,,,
0,,骸の将よ、おまえもムクロになるがいい！,You too may become a corpse!,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,52,,,,,,,,,
0,,客人たちよ、戦功には報いる！,"Our guests, you will be rewarded 
for your war efforts!",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,53,,,,,,,,,
0,,退くな！　押せ！　あとひと押しだ！,Don't retreat!　Push!　One more push!,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,54,,,,,,,,,
0,,こりゃ骨のありそうな相手だ,This guy's got a bone to pick!,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,55,,,,,,,,,
0,,隊長、押して行こうぜ,"Captain, let's push on.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,56,,,,,,,,,
0,,リズ、口閉じて戦え！,"Lise, shut your mouth and fight!",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,57,,,,,,,,,
0,,メイロワ将軍、無理すんな！,"General Meirova, don't overdo it!",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,58,,,,,,,,,
0,,爺さん、俺に任せろ,"I'll take care of it, old man.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,59,,,,,,,,,
0,,それにしても気味わりぃな――,"Even so, it's creepy—",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,60,,,,,,,,,
0,,こいつ、どういうオークだよ！,What kind of orc is this guy?!,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,61,,,,,,,,,
0,,ああ――臭い,Ahhh ―― it stinks.,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,62,,,,,,,,,
0,,陽動部隊には負けないんだから！,We won't be outmatched by the diversion squad!,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,63,,,,,,,,,
0,,隊長、今のいい感じ！,"Now that's a good one, Captain!",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,64,,,,,,,,,
0,,ガルドリン、休んでるんじゃない？,"Gurdolin, are you taking a break?",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,65,,,,,,,,,
0,,このオーク、気持ち悪いよね,This orc is sickening.,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,66,,,,,,,,,
0,,ムクロって、死体のこと！？,He's talking about corpses!,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,67,,,,,,,,,
0,,あー、こいつにやられたくない！,"Oh, I don't want this guy to do that to me!",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,68,,,,,,,,,
0,,"僕の呼びかけで民たちが集まってくれました！
展望城から、希望城へと名を変えた方が
よいかもしれません","My call brought the people together! 
Maybe we should change the name from 
Lookout Castle to Hope Castle.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,69,,,,,,,,,
0,,"そうそう、オークに破壊された
礎が見つかったらしいですよ","Oh yes, I heard they found a Portcrystal that 
they orcs busted up.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,70,,,,,,,,,
0,,"職人たちが修繕を進めていますから
今頃は完成しているかもしれません","The craftsmen are working on the repairs, 
it may be completed by now.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,71,,,,,,,,,
0,,"そうだ、解放の儀は皆さんにお願いします！
礎の場所は――ごめんなさい
僕も知らないので誰かに聞いてください","Yes, I'll ask you all to do the liberation ceremony! 
The location of the Portcrystal--
sorry, I don't know it either, 
so please ask someone.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,72,,,,,,,,,
0,,城巡りは終わったのか？,Are you done touring the castle?,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,73,,,,,,,,,
0,,"オークどもに壊され、汚されてしまったが
もうすっかり元通りだ
大勢の手があるのは実に素晴らしいことだな","The orcs ravaged and defaced it, 
but it's all back to normal now.
It's wonderful to see so many hands helping out.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,74,,,,,,,,,
0,,"ここには幾度か盗みに入ったことが
あるけどね――","I've been in here a couple of times to steal 
things, though――",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,75,,,,,,,,,
0,,"大手を振って歩けるようになるなんて
感慨深いよ","It's so emotional to be able to walk around here 
with a big smile on my face.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,76,,,,,,,,,
0,,"城ってのは、俺にとっちゃあ
取ったり取られたりの戦場なんだが――
元々は、んな場所じゃねえんだよなあ","A castle is a battlefield where I can be caught 
or killed- 
but it wasn't always a place like that.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,77,,,,,,,,,
0,,"お城ってさあ、やっぱり人が大勢いるのが
いいよね","When it comes to castles,
is nice when there are a lot of people.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,78,,,,,,,,,
0,,"陽動作戦では、多くの死傷者が出たけれど
みんなこの城の奪還のために命をかけたんだ
取り戻してくれて、本当にありがとう","We had a lot of casualties in the diversionary 
operation, but we all put our lives on the line 
to take this castle again.
Thank you so much for helping us get it back.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,79,,,,,,,,,
0,,"ロスギルの人たちが癒えるまで
当面はこちらと向こうを行き来するよ","I'll be shuttling back and forth between here and 
there for the time being, until the people of 
Rothgill heal.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,80,,,,,,,,,
0,,隊長！　俺、無事戻りました！,Captain! I've returned safely!,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,81,,,,,,,,,
0,,"戦いの最中、展望城が襲われたのを知ると
奴ら慌てふためいて引き返していきましたよ","During the battle, when they heard that the 
Lookout Castle had been attacked, 
they panicked and turned back.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,82,,,,,,,,,
0,,"奪われた城を取り戻さんと、城外は
いまだ敵に埋め尽くされていますが
なーに、ここからです","We have regained the castle that was taken from 
us, although the outside of the castle is still 
filled with enemies.

But it all starts here.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,83,,,,,,,,,
0,,それにほら、みんなの笑顔、見ました？,"And look, did you see everyone's smiles?",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,84,,,,,,,,,
0,,"ネド王子と出会う前と比べると
雲泥の差ですよ","It's a far cry from what it was before we 
met Prince Nedo.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,85,,,,,,,,,
0,,"見事、展望城を取り戻してくれたな
わたしからも礼を言わせてもらおう","You've done a fine job of restoring the 
Lookout Castle to us, and I thank you for it.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,86,,,,,,,,,
0,,"すぐさま城へ駆けつけたいが
この砦を空にするわけにもいかない","I would run to the castle immediately, 
but I can't leave this fort empty.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,87,,,,,,,,,
0,,"展望城再建に必要な物資は、王家の通路を通じ
順次、運び込ませて貰うよ","The supplies needed to rebuild the 
Lookout Castle will be brought in one by one 
through the royal passageway.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,88,,,,,,,,,
0,,城内の散歩はいかがですか？,How about taking a walk around the castle?,ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,89,,,,,,,,,
0,,"まだオーク臭が残っているという者もいますが
僕にとってはそれも勝利の香りです","There are people who say it still smells like 
orc, but for me, that's also the scent of victory.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,90,,,,,,,,,
0,,"隊長さんも、僕と同じように
この勝利を満喫してくれるとうれしいです","I hope you enjoy this victory as much as I do, 
Captain.",ui\00_message\quest\q00030130.gmd,\quest\q00030130.arc,q00030130.arc,91,,,,,,,,,
